max_depth,auc,methodology
2,0.8466238842610567,training
3,0.8534536402040733,training
4,0.8566959134240844,training
5,0.8602819582450184,training
6,0.863864265522589,training
7,0.8678973837685222,training
8,0.8729569475452845,training
9,0.8801864397074763,training
10,0.8896820315767994,training
11,0.9018187973756933,training
12,0.9154885822175242,training
13,0.930717182610999,training
14,0.9478886787327622,training
15,0.9624459937370108,training
16,0.9756474110655593,training
17,0.9860391744267054,training
18,0.9918304394168943,training
19,0.9959262068835086,training
20,0.9981822880371829,training
21,0.9992182923045465,training
22,0.9996886148747687,training
23,0.9998694442813776,training
24,0.9999345590337175,training
25,0.9999488289453314,training
26,0.9999587022055477,training
27,0.9999665959149449,training
28,0.9999696877105719,training
29,0.9999715848728867,training
30,0.9999722322906602,training
31,0.9999733963066229,training
32,0.9999744907377002,training
33,0.9999746087536657,training
34,0.9999751242384965,training
35,0.9999748403321641,training
36,0.999975006222531,training
37,0.9999754036913963,training
38,0.9999751231251384,training
39,0.9999752366876713,training
40,0.9999753858776657,training
41,0.9999755128004963,training
42,0.9999754727196025,training
43,0.9999754860799006,training
44,0.9999755606748976,training
45,0.9999755250474363,training
46,0.9999755172539292,training
47,0.9999755439745253,training
48,0.9999755072337057,training
49,0.9999755462012415,training
2,0.8461415880442041,cross-validation
3,0.8524316399389786,cross-validation
4,0.8552103431214322,cross-validation
5,0.8570366070714257,cross-validation
6,0.8587874573448013,cross-validation
7,0.8601415762073932,cross-validation
8,0.8612899496810916,cross-validation
9,0.8618160081945663,cross-validation
10,0.8620007409471692,cross-validation
11,0.8624612357106176,cross-validation
12,0.8619465890526132,cross-validation
13,0.8617822638390245,cross-validation
14,0.8608706333627151,cross-validation
15,0.859428018530988,cross-validation
16,0.858162878129922,cross-validation
17,0.8562841291051168,cross-validation
18,0.855061761822524,cross-validation
19,0.8535485188646877,cross-validation
20,0.8506199424884654,cross-validation
21,0.8492917908768508,cross-validation
22,0.847295162489021,cross-validation
23,0.8448811398190132,cross-validation
24,0.8439195026348528,cross-validation
25,0.8434211027861487,cross-validation
26,0.8431520583441632,cross-validation
27,0.8422292013165207,cross-validation
28,0.8412902890659983,cross-validation
29,0.8409021792342284,cross-validation
30,0.840633062345522,cross-validation
31,0.8391080299415264,cross-validation
32,0.839628895707046,cross-validation
33,0.839093919992799,cross-validation
34,0.8395011527492772,cross-validation
35,0.8393849279242493,cross-validation
36,0.8385869372158836,cross-validation
37,0.8390944757815306,cross-validation
38,0.8396968417001087,cross-validation
39,0.838701220826564,cross-validation
40,0.838701469606429,cross-validation
41,0.838649229611071,cross-validation
42,0.8390152135183229,cross-validation
43,0.8389581036871039,cross-validation
44,0.8388947803408223,cross-validation
45,0.8388336241388789,cross-validation
46,0.8388587432485188,cross-validation
47,0.8388512479928995,cross-validation
48,0.8388482602459298,cross-validation
49,0.8387928543119664,cross-validation
